ZONE I=5
0 0 0 
0.000785398 0.000775598 0 
0.0015708 0.00155119 0 
0.00235619 0.00232679 0 
0.00314159 0.00310239 0 
ZONE I=5
0.00314159 0.00310239 0 
0.00392699 0.00387798 0 
0.00471239 0.00465357 0 
0.00549779 0.00542916 0 
0.00628319 0.00620474 0 
ZONE I=5
0.00628319 0.00620474 0 
0.00706858 0.00698032 0 
0.00785398 0.0077559 0 
0.00863938 0.00853147 0 
0.00942478 0.00930704 0 
ZONE I=5
0.00942478 0.00930704 0 
0.0102102 0.0100826 0 
0.0109956 0.0108582 0 
0.011781 0.0116337 0 
0.0125664 0.0124092 0 
ZONE I=5
0.0125664 0.0124092 0 
0.0133518 0.0131848 0 
0.0141372 0.0139603 0 
0.0149226 0.0147358 0 
0.015708 0.0155113 0 
ZONE I=5
0.015708 0.0155113 0 
0.0164934 0.0162868 0 
0.0172788 0.0170623 0 
0.0180642 0.0178378 0 
0.0188496 0.0186133 0 
ZONE I=5
0.0188496 0.0186133 0 
0.019635 0.0193887 0 
0.0204204 0.0201642 0 
0.0212058 0.0209396 0 
0.0219911 0.021715 0 
ZONE I=5
0.0219911 0.021715 0 
0.0227765 0.0224905 0 
0.0235619 0.0232659 0 
0.0243473 0.0240412 0 
0.0251327 0.0248166 0 
ZONE I=5
0.0251327 0.0248166 0 
0.0259181 0.025592 0 
0.0267035 0.0263673 0 
0.0274889 0.0271426 0 
0.0282743 0.0279179 0 
ZONE I=5
0.0282743 0.0279179 0 
0.0290597 0.0286932 0 
0.0298451 0.0294685 0 
0.0306305 0.0302437 0 
0.0314159 0.031019 0 
ZONE I=5
0.0314159 0.031019 0 
0.0322013 0.0317942 0 
0.0329867 0.0325694 0 
0.0337721 0.0333446 0 
0.0345575 0.0341197 0 
ZONE I=5
0.0345575 0.0341197 0 
0.0353429 0.0348949 0 
0.0361283 0.03567 0 
0.0369137 0.0364451 0 
0.0376991 0.0372202 0 
ZONE I=5
0.0376991 0.0372202 0 
0.0384845 0.0379952 0 
0.0392699 0.0387703 0 
0.0400553 0.0395453 0 
0.0408407 0.0403202 0 
ZONE I=5
0.0408407 0.0403202 0 
0.0416261 0.0410952 0 
0.0424115 0.0418701 0 
0.0431969 0.0426451 0 
0.0439823 0.0434199 0 
ZONE I=5
0.0439823 0.0434199 0 
0.0447677 0.0441948 0 
0.0455531 0.0449696 0 
0.0463385 0.0457444 0 
0.0471239 0.0465192 0 
ZONE I=5
0.0471239 0.0465192 0 
0.0479093 0.047294 0 
0.0486947 0.0480687 0 
0.0494801 0.0488434 0 
0.0502655 0.0496181 0 
ZONE I=5
0.0502655 0.0496181 0 
0.0510509 0.0503927 0 
0.0518363 0.0511673 0 
0.0526217 0.0519419 0 
