ZONE I=5
0 0 0 
0.000785398 0.000494654 0 
0.0015708 0.000989307 0 
0.00235619 0.00148396 0 
0.00314159 0.00197861 0 
ZONE I=5
0.00314159 0.00197861 0 
0.00392699 0.00247327 0 
0.00471239 0.00296792 0 
0.00549779 0.00346257 0 
0.00628319 0.00395722 0 
ZONE I=5
0.00628319 0.00395722 0 
0.00706858 0.00445187 0 
0.00785398 0.00494652 0 
0.00863938 0.00544117 0 
0.00942478 0.00593582 0 
ZONE I=5
0.00942478 0.00593582 0 
0.0102102 0.00643046 0 
0.0109956 0.00692511 0 
0.011781 0.00741975 0 
0.0125664 0.0079144 0 
ZONE I=5
0.0125664 0.0079144 0 
0.0133518 0.00840904 0 
0.0141372 0.00890368 0 
0.0149226 0.00939832 0 
0.015708 0.00989295 0 
ZONE I=5
0.015708 0.00989295 0 
0.0164934 0.0103876 0 
0.0172788 0.0108822 0 
0.0180642 0.0113768 0 
0.0188496 0.0118715 0 
ZONE I=5
0.0188496 0.0118715 0 
0.019635 0.0123661 0 
0.0204204 0.0128607 0 
0.0212058 0.0133554 0 
0.0219911 0.01385 0 
ZONE I=5
0.0219911 0.01385 0 
0.0227765 0.0143446 0 
0.0235619 0.0148392 0 
0.0243473 0.0153338 0 
0.0251327 0.0158284 0 
ZONE I=5
0.0251327 0.0158284 0 
0.0259181 0.016323 0 
0.0267035 0.0168176 0 
0.0274889 0.0173122 0 
0.0282743 0.0178068 0 
ZONE I=5
0.0282743 0.0178068 0 
0.0290597 0.0183014 0 
0.0298451 0.018796 0 
0.0306305 0.0192906 0 
0.0314159 0.0197852 0 
ZONE I=5
0.0314159 0.0197852 0 
0.0322013 0.0202798 0 
0.0329867 0.0207743 0 
0.0337721 0.0212689 0 
0.0345575 0.0217635 0 
ZONE I=5
0.0345575 0.0217635 0 
0.0353429 0.022258 0 
0.0361283 0.0227526 0 
0.0369137 0.0232472 0 
0.0376991 0.0237417 0 
ZONE I=5
0.0376991 0.0237417 0 
0.0384845 0.0242363 0 
0.0392699 0.0247308 0 
0.0400553 0.0252253 0 
0.0408407 0.0257199 0 
ZONE I=5
0.0408407 0.0257199 0 
0.0416261 0.0262144 0 
0.0424115 0.0267089 0 
0.0431969 0.0272035 0 
0.0439823 0.027698 0 
ZONE I=5
0.0439823 0.027698 0 
0.0447677 0.0281925 0 
0.0455531 0.028687 0 
0.0463385 0.0291815 0 
0.0471239 0.029676 0 
ZONE I=5
0.0471239 0.029676 0 
0.0479093 0.0301705 0 
0.0486947 0.0306649 0 
0.0494801 0.0311594 0 
0.0502655 0.0316539 0 
ZONE I=5
0.0502655 0.0316539 0 
0.0510509 0.0321484 0 
0.0518363 0.0326428 0 
0.0526217 0.0331373 0 
0.0534071 0.0336317 0 
ZONE I=5
0.0534071 0.0336317 0 
0.0541925 0.0341262 0 
0.0549779 0.0346206 0 
0.0557633 0.035115 0 
0.0565487 0.0356095 0 
ZONE I=5
0.0565487 0.0356095 0 
0.0573341 0.0361039 0 
0.0581195 0.0365983 0 
0.0589049 0.0370927 0 
0.0596903 0.0375871 0 
ZONE I=5
0.0596903 0.0375871 0 
0.0604757 0.0380815 0 
0.0612611 0.0385759 0 
0.0620465 0.0390702 0 
0.0628319 0.0395646 0 
ZONE I=5
0.0628319 0.0395646 0 
0.0636173 0.040059 0 
0.0644026 0.0405533 0 
0.065188 0.0410477 0 
0.0659734 0.041542 0 
ZONE I=5
0.0659734 0.041542 0 
0.0667588 0.0420363 0 
0.0675442 0.0425307 0 
0.0683296 0.043025 0 
0.069115 0.0435193 0 
ZONE I=5
0.069115 0.0435193 0 
0.0699004 0.0440136 0 
0.0706858 0.0445079 0 
0.0714712 0.0450022 0 
0.0722566 0.0454964 0 
ZONE I=5
0.0722566 0.0454964 0 
0.073042 0.0459907 0 
0.0738274 0.046485 0 
0.0746128 0.0469792 0 
0.0753982 0.0474735 0 
ZONE I=5
0.0753982 0.0474735 0 
0.0761836 0.0479677 0 
0.076969 0.0484619 0 
0.0777544 0.0489561 0 
0.0785398 0.0494504 0 
ZONE I=5
0.0785398 0.0494504 0 
0.0793252 0.0499446 0 
0.0801106 0.0504387 0 
0.080896 0.0509329 0 
0.0816814 0.0514271 0 
ZONE I=5
0.0816814 0.0514271 0 
0.0824668 0.0519213 0 
0.0832522 0.0524154 0 
0.0840376 0.0529096 0 
0.084823 0.0534037 0 
ZONE I=5
0.084823 0.0534037 0 
0.0856084 0.0538978 0 
0.0863938 0.0543919 0 
0.0871792 0.054886 0 
0.0879646 0.0553801 0 
ZONE I=5
0.0879646 0.0553801 0 
0.08875 0.0558742 0 
0.0895354 0.0563683 0 
0.0903208 0.0568623 0 
0.0911062 0.0573564 0 
ZONE I=5
0.0911062 0.0573564 0 
0.0918916 0.0578504 0 
0.092677 0.0583445 0 
0.0934624 0.0588385 0 
0.0942478 0.0593325 0 
ZONE I=5
0.0942478 0.0593325 0 
0.0950332 0.0598265 0 
0.0958186 0.0603205 0 
0.096604 0.0608145 0 
0.0973894 0.0613084 0 
ZONE I=5
0.0973894 0.0613084 0 
0.0981748 0.0618024 0 
0.0989602 0.0622963 0 
0.0997456 0.0627903 0 
0.100531 0.0632842 0 
ZONE I=5
0.100531 0.0632842 0 
0.101316 0.0637781 0 
0.102102 0.064272 0 
0.102887 0.0647659 0 
0.103673 0.0652598 0 
ZONE I=5
0.103673 0.0652598 0 
0.104458 0.0657536 0 
0.105243 0.0662475 0 
0.106029 0.0667413 0 
0.106814 0.0672351 0 
ZONE I=5
0.106814 0.0672351 0 
0.1076 0.0677289 0 
0.108385 0.0682227 0 
0.10917 0.0687165 0 
0.109956 0.0692103 0 
ZONE I=5
0.109956 0.0692103 0 
0.110741 0.0697041 0 
0.111527 0.0701978 0 
0.112312 0.0706916 0 
0.113097 0.0711853 0 
ZONE I=5
0.113097 0.0711853 0 
0.113883 0.071679 0 
0.114668 0.0721727 0 
0.115454 0.0726664 0 
0.116239 0.0731601 0 
ZONE I=5
0.116239 0.0731601 0 
0.117024 0.0736537 0 
0.11781 0.0741474 0 
0.118595 0.074641 0 
0.119381 0.0751346 0 
ZONE I=5
0.119381 0.0751346 0 
0.120166 0.0756282 0 
0.120951 0.0761218 0 
0.121737 0.0766154 0 
0.122522 0.077109 0 
ZONE I=5
0.122522 0.077109 0 
0.123308 0.0776025 0 
0.124093 0.0780961 0 
0.124878 0.0785896 0 
0.125664 0.0790831 0 
ZONE I=5
0.125664 0.0790831 0 
0.126449 0.0795766 0 
0.127235 0.0800701 0 
0.12802 0.0805635 0 
0.128805 0.081057 0 
ZONE I=5
0.128805 0.081057 0 
0.129591 0.0815504 0 
0.130376 0.0820438 0 
0.131161 0.0825372 0 
0.131947 0.0830306 0 
ZONE I=5
0.131947 0.0830306 0 
0.132732 0.083524 0 
0.133518 0.0840173 0 
0.134303 0.0845107 0 
0.135088 0.085004 0 
ZONE I=5
0.135088 0.085004 0 
0.135874 0.0854973 0 
0.136659 0.0859906 0 
0.137445 0.0864839 0 
0.13823 0.0869772 0 
ZONE I=5
0.13823 0.0869772 0 
0.139015 0.0874704 0 
0.139801 0.0879637 0 
0.140586 0.0884569 0 
0.141372 0.0889501 0 
ZONE I=5
0.141372 0.0889501 0 
0.142157 0.0894433 0 
0.142942 0.0899364 0 
0.143728 0.0904296 0 
0.144513 0.0909227 0 
ZONE I=5
0.144513 0.0909227 0 
0.145299 0.0914158 0 
0.146084 0.0919089 0 
0.146869 0.092402 0 
0.147655 0.0928951 0 
ZONE I=5
0.147655 0.0928951 0 
0.14844 0.0933881 0 
0.149226 0.0938812 0 
0.150011 0.0943742 0 
0.150796 0.0948672 0 
ZONE I=5
0.150796 0.0948672 0 
0.151582 0.0953602 0 
