ZONE I=5
0 0 0 
0.000314159 0 0 
0.000628319 0 0 
0.000942478 0 0 
0.00125664 0 0 
ZONE I=5
0.00125664 0 0 
0.0015708 0 0 
0.00188496 0 0 
0.00219911 0 0 
0.00251327 0 0 
ZONE I=5
0.00251327 0 0 
0.00282743 0 0 
0.00314159 0 0 
0.00345575 0 0 
0.00376991 0 0 
ZONE I=5
0.00376991 0 0 
0.00408407 0 0 
0.00439823 0 0 
0.00471239 0 0 
0.00502655 0 0 
ZONE I=5
0.00502655 0 0 
0.00534071 0 0 
0.00565487 0 0 
0.00596903 0 0 
0.00628319 0 0 
ZONE I=5
0.00628319 0 0 
0.00659734 0 0 
0.0069115 0 0 
0.00722566 0 0 
0.00753982 0 0 
ZONE I=5
0.00753982 0 0 
0.00785398 0 0 
0.00816814 0 0 
0.0084823 0 0 
0.00879646 0 0 
ZONE I=5
0.00879646 0 0 
0.00911062 0 0 
0.00942478 0 0 
0.00973894 0 0 
0.0100531 0 0 
ZONE I=5
0.0100531 0 0 
0.0103673 0 0 
0.0106814 0 0 
0.0109956 0 0 
0.0113097 0 0 
ZONE I=5
0.0113097 0 0 
0.0116239 0 0 
0.0119381 0 0 
0.0122522 0 0 
0.0125664 0 0 
ZONE I=5
0.0125664 0 0 
0.0128805 0 0 
0.0131947 0 0 
0.0135088 0 0 
0.013823 0 0 
ZONE I=5
0.013823 0 0 
0.0141372 0 0 
0.0144513 0 0 
0.0147655 0 0 
0.0150796 0 0 
ZONE I=5
0.0150796 0 0 
0.0153938 0 0 
0.015708 0 0 
0.0160221 0 0 
0.0163363 0 0 
ZONE I=5
0.0163363 0 0 
0.0166504 0 0 
0.0169646 0 0 
0.0172788 0 0 
0.0175929 0 0 
ZONE I=5
0.0175929 0 0 
0.0179071 0 0 
0.0182212 0 0 
0.0185354 0 0 
0.0188496 0 0 
ZONE I=5
0.0188496 0 0 
0.0191637 0 0 
0.0194779 0 0 
0.019792 0 0 
0.0201062 0 0 
ZONE I=5
0.0201062 0 0 
0.0204204 0 0 
0.0207345 0 0 
0.0210487 0 0 
0.0213628 0 0 
ZONE I=5
0.0213628 0 0 
0.021677 0 0 
0.0219911 0 0 
0.0223053 0 0 
0.0226195 0 0 
ZONE I=5
0.0226195 0 0 
0.0229336 0 0 
0.0232478 0 0 
0.0235619 0 0 
0.0238761 0 0 
ZONE I=5
0.0238761 0 0 
0.0241903 0 0 
0.0245044 0 0 
0.0248186 0 0 
0.0251327 0 0 
ZONE I=5
0.0251327 0 0 
0.0254469 0 0 
0.0257611 0 0 
0.0260752 0 0 
0.0263894 0 0 
ZONE I=5
0.0263894 0 0 
0.0267035 0 0 
0.0270177 0 0 
0.0273319 0 0 
0.027646 0 0 
ZONE I=5
0.027646 0 0 
0.0279602 0 0 
0.0282743 0 0 
0.0285885 0 0 
0.0289027 0 0 
ZONE I=5
0.0289027 0 0 
0.0292168 0 0 
0.029531 0 0 
0.0298451 0 0 
0.0301593 0 0 
ZONE I=5
0.0301593 0 0 
0.0304734 0 0 
0.0307876 0 0 
0.0311018 0 0 
0.0314159 0 0 
ZONE I=5
0.0314159 0 0 
0.0317301 0 0 
0.0320442 0 0 
0.0323584 0 0 
0.0326726 0 0 
ZONE I=5
0.0326726 0 0 
0.0329867 0 0 
0.0333009 0 0 
0.033615 0 0 
0.0339292 0 0 
ZONE I=5
0.0339292 0 0 
0.0342434 0 0 
0.0345575 0 0 
0.0348717 0 0 
0.0351858 0 0 
ZONE I=5
0.0351858 0 0 
